,time,memused,swapused,memproc,mem_vm,limit_cgroup,response_time
0,0.0,1970468.0,855448.0,593981440.0,1816668.0,2147483648.0,286.556
1,0.5,1970648.0,855448.0,593981440.0,1816668.0,2147483648.0,286.556
2,1.0,1970648.0,855448.0,593981440.0,1816668.0,2147483648.0,286.556
3,1.5,1970384.0,855448.0,593981440.0,1816668.0,2147483648.0,286.556
4,2.0,1970384.0,855448.0,593981440.0,1816636.0,2147483648.0,286.556
5,2.5,1970128.0,855448.0,594112512.0,1816636.0,2147483648.0,286.556
6,3.0,1970128.0,855448.0,594112512.0,1816636.0,2147483648.0,286.556
7,3.5,1970128.0,855448.0,594112512.0,1816636.0,2147483648.0,286.556
8,4.0,1970128.0,855448.0,594112512.0,1816636.0,2147483648.0,286.556
9,4.5,1970128.0,855448.0,594112512.0,1816636.0,2147483648.0,286.556
10,5.0,1970128.0,855448.0,594243584.0,1816636.0,2147483648.0,286.556
11,5.5,1969860.0,855448.0,594243584.0,1816636.0,2147483648.0,286.556
12,6.0,1969860.0,855448.0,594243584.0,1816636.0,2147483648.0,286.556
13,6.5,1969860.0,855448.0,594243584.0,1816636.0,2147483648.0,286.556
14,7.0,1969860.0,855448.0,594243584.0,1816604.0,2147483648.0,286.556
15,7.5,1969608.0,855448.0,594243584.0,1816604.0,2147483648.0,286.556
16,8.0,1969608.0,855448.0,594243584.0,1816668.0,2147483648.0,286.556
17,8.5,1969352.0,855448.0,594243584.0,1816668.0,2147483648.0,286.556
18,9.0,1969352.0,855448.0,594239488.0,1816668.0,2147483648.0,286.556
19,9.5,1969352.0,855448.0,594239488.0,1816668.0,2147483648.0,286.556
20,10.0,1969352.0,855448.0,594239488.0,1816668.0,2147483648.0,286.556
21,10.5,1969320.0,855448.0,594239488.0,1816668.0,2147483648.0,286.556
22,11.0,1969320.0,855448.0,594239488.0,1816668.0,2147483648.0,286.556
23,11.5,1969068.0,855448.0,594239488.0,1816668.0,2147483648.0,286.556
24,12.0,1969068.0,855448.0,594239488.0,1823080.0,2147483648.0,286.556
25,12.5,1969068.0,855448.0,594239488.0,1823080.0,2147483648.0,286.556
26,13.0,1969068.0,855448.0,594239488.0,1823460.0,2147483648.0,286.556
27,13.5,1969068.0,855448.0,594239488.0,1823460.0,2147483648.0,286.556
28,14.0,1969068.0,855448.0,594763776.0,1824136.0,2147483648.0,286.556
29,14.5,1969040.0,855448.0,594763776.0,1824136.0,2147483648.0,286.556
30,15.0,1969040.0,855448.0,594763776.0,1824576.0,2147483648.0,286.556
31,15.5,1969032.0,855448.0,594763776.0,1824576.0,2147483648.0,286.556
32,16.0,1969032.0,855448.0,594763776.0,1824452.0,2147483648.0,286.556
33,16.5,1969032.0,855448.0,594763776.0,1824452.0,2147483648.0,286.556
34,17.0,1968956.0,855448.0,594763776.0,1823788.0,2147483648.0,286.556
35,17.5,1968956.0,855448.0,594763776.0,1823788.0,2147483648.0,286.556
36,18.0,1968956.0,855448.0,594886656.0,1823868.0,2147483648.0,286.556
37,18.5,1968956.0,855448.0,594886656.0,1823868.0,2147483648.0,286.556
38,19.0,1968956.0,855448.0,594886656.0,1823976.0,2147483648.0,286.556
39,19.5,1968956.0,855448.0,594886656.0,1823976.0,2147483648.0,286.556
40,20.0,1968956.0,855448.0,594886656.0,1824340.0,2147483648.0,286.556
41,20.5,1968948.0,855448.0,594886656.0,1824340.0,2147483648.0,286.556
42,21.0,1968948.0,855448.0,594886656.0,1824576.0,2147483648.0,286.556
43,21.5,1968948.0,855448.0,594886656.0,1824576.0,2147483648.0,286.556
44,22.0,1968948.0,855448.0,594886656.0,1824572.0,2147483648.0,286.556
45,22.5,1968948.0,855448.0,594886656.0,1824572.0,2147483648.0,286.556
46,23.0,1968948.0,855448.0,594886656.0,1824572.0,2147483648.0,286.556
47,23.5,1968948.0,855448.0,594755584.0,1824572.0,2147483648.0,286.556
48,24.0,1968948.0,855448.0,594755584.0,1825076.0,2147483648.0,286.556
49,24.5,1968488.0,855448.0,594755584.0,1825076.0,2147483648.0,286.556
50,25.0,1968488.0,855448.0,594755584.0,1824872.0,2147483648.0,286.556
51,25.5,1968480.0,855448.0,594755584.0,1824872.0,2147483648.0,286.556
52,26.0,1968480.0,855448.0,594755584.0,1824904.0,2147483648.0,286.556
53,26.5,1968380.0,855448.0,594755584.0,1824904.0,2147483648.0,286.556
54,27.0,1968380.0,855448.0,594755584.0,1824556.0,2147483648.0,286.556
55,27.5,1968380.0,855448.0,594755584.0,1824556.0,2147483648.0,286.556
56,28.0,1968380.0,855448.0,594755584.0,1825236.0,2147483648.0,286.556
57,28.5,1968380.0,855448.0,594755584.0,1825236.0,2147483648.0,286.556
58,29.0,1968380.0,855448.0,594755584.0,1824632.0,2147483648.0,286.556
59,29.5,1982952.0,855448.0,599449600.0,1824632.0,2147483648.0,286.556
60,30.0,1987460.0,855448.0,600014848.0,1824824.0,2147483648.0,286.556
61,30.5,1985984.0,855448.0,599891968.0,1824824.0,2147483648.0,286.556
62,31.0,1985096.0,855448.0,600023040.0,1824620.0,2147483648.0,286.556
63,31.5,1989040.0,855448.0,600023040.0,1824620.0,2147483648.0,286.556
64,32.0,1988824.0,855448.0,600023040.0,1824552.0,2147483648.0,286.556
65,32.5,1993296.0,855448.0,600023040.0,1824552.0,2147483648.0,286.556
66,33.0,1987312.0,855448.0,600023040.0,1824064.0,2147483648.0,286.556
67,33.5,1995748.0,855448.0,600023040.0,1824064.0,2147483648.0,286.556
68,34.0,1994312.0,855448.0,600023040.0,1824064.0,2147483648.0,286.556
69,34.5,2002880.0,855448.0,600444928.0,1824064.0,2147483648.0,286.556
70,35.0,1997664.0,855448.0,600313856.0,1824208.0,2147483648.0,286.556
71,35.5,2001488.0,855448.0,600313856.0,1824208.0,2147483648.0,286.556
72,36.0,2000052.0,855448.0,600313856.0,1824256.0,2147483648.0,286.556
73,36.5,1998360.0,855448.0,600178688.0,1824256.0,2147483648.0,286.556
74,37.0,1993724.0,855448.0,600178688.0,1824268.0,2147483648.0,286.556
75,37.5,1992476.0,855448.0,600170496.0,1824268.0,2147483648.0,286.556
76,38.0,1995924.0,855448.0,600170496.0,1824316.0,2147483648.0,286.556
77,38.5,1995020.0,855448.0,599941120.0,1824316.0,2147483648.0,286.556
78,39.0,1998444.0,855448.0,600072192.0,1824252.0,2147483648.0,286.556
79,39.5,1998048.0,855448.0,600023040.0,1824252.0,2147483648.0,286.556
80,40.0,1996996.0,855448.0,600014848.0,1824820.0,2147483648.0,286.556
81,40.5,2000856.0,855448.0,600010752.0,1824820.0,2147483648.0,286.556
82,41.0,2004728.0,855448.0,600010752.0,1824932.0,2147483648.0,286.556
83,41.5,1999804.0,855448.0,600010752.0,1824932.0,2147483648.0,286.556
84,42.0,2003676.0,855448.0,600010752.0,1824848.0,2147483648.0,286.556
85,42.5,2001664.0,855448.0,600010752.0,1824848.0,2147483648.0,286.556
86,43.0,2000352.0,855448.0,599953408.0,1824832.0,2147483648.0,286.556
87,43.5,2003332.0,855448.0,599932928.0,1824832.0,2147483648.0,286.556
88,44.0,2006756.0,855448.0,599916544.0,1824944.0,2147483648.0,286.556
89,44.5,2002592.0,855448.0,600047616.0,1824944.0,2147483648.0,286.556
90,45.0,2005436.0,855448.0,600047616.0,1824928.0,2147483648.0,222.288
91,45.5,2003700.0,855448.0,600047616.0,1824928.0,2147483648.0,222.288
92,46.0,2004804.0,855448.0,599949312.0,1824644.0,2147483648.0,222.288
93,46.5,2003464.0,855448.0,599949312.0,1824644.0,2147483648.0,222.288
94,47.0,2006792.0,855448.0,599949312.0,1824708.0,2147483648.0,222.288
95,47.5,2001816.0,855448.0,599949312.0,1824708.0,2147483648.0,222.288
96,48.0,2004880.0,855448.0,599949312.0,1824896.0,2147483648.0,222.288
97,48.5,2004100.0,855448.0,600080384.0,1824896.0,2147483648.0,222.288
98,49.0,2002748.0,855448.0,600080384.0,1824896.0,2147483648.0,222.288
99,49.5,2000664.0,855448.0,600322048.0,1824896.0,2147483648.0,222.288
100,50.0,2002876.0,855448.0,600305664.0,1824628.0,2147483648.0,222.288
101,50.5,2000620.0,855448.0,600301568.0,1824628.0,2147483648.0,222.288
102,51.0,2003596.0,855448.0,600416256.0,1824740.0,2147483648.0,222.288
103,51.5,2001860.0,855448.0,600403968.0,1824740.0,2147483648.0,222.288
104,52.0,2005116.0,855448.0,600301568.0,1824808.0,2147483648.0,222.288
105,52.5,2003232.0,855448.0,600301568.0,1824808.0,2147483648.0,222.288
106,53.0,2001524.0,855448.0,600170496.0,1824588.0,2147483648.0,222.288
107,53.5,2001164.0,855448.0,600166400.0,1824588.0,2147483648.0,222.288
108,54.0,2001164.0,855448.0,600158208.0,1824620.0,2147483648.0,222.288
109,54.5,2001164.0,855448.0,600145920.0,1824620.0,2147483648.0,222.288
110,55.0,2001164.0,855448.0,600170496.0,1824636.0,2147483648.0,222.288
111,55.5,2000872.0,855448.0,600162304.0,1824636.0,2147483648.0,222.288
112,56.0,2000872.0,855448.0,600158208.0,1824604.0,2147483648.0,222.288
113,56.5,2000620.0,855448.0,600145920.0,1824604.0,2147483648.0,222.288
